Detected Intent,Original Transcription,New transcription,New Amount,New Intent
unknown,چیک سٹیٹمنٹ,چیک سٹیٹمنٹ,,download_statement
unknown,ٹرانسفر ٹو مہک,Transfer to Mehak.,,send_money
pay_bill,ہیلو، پے ون ایٹی ایٹ ہنڈرڈ ٹو بلال احمد، بینک اسلامی,"Hello, pay 18800 to Bilal Ahmed, Bank Islami.",18800.0,send_money
mobile_topup,"If there is no speech in the audio, return empty text.",Please transfer 5000 rupees to Ali's account.,5000.0,send_money
pay_bill,I just want to change the interface of this app.,I just want to change the interface of this app.,,unknown
download_statement,"Hey, I just want to change the interface.","Hey, I just want to change the interface.",,unknown
mobile_topup,ایک کروڑ روپے ابیض محمد ریحان کے نام پہ۔,ایک روپیہ ابیدو محمد ریحان کے نام پہ.,1.0,send_money
download_statement,ایک روپیہ بیہ دو محمد ریحان ایچ بی ایل,ایک روپیہ بھی دو محمد ریحان ایچ بی ایل.,1.0,send_money
mobile_topup,ایک روپے بھی ایدو محمد ریحان کے نام پر.,ایک روپیہ بھی دو محمد ریحان کے نام پر۔,1.0,send_money
pay_bill,"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,5000.0,send_money
unknown,سینڈ منی محمد ریحان,Send money Muhammad Rehan.,,send_money
unknown,Transaction history,Transaction history.,,download_statement
unknown,تھوڑا روٹی کھالو۔,Transfer to other account.,,send_money
pay_bill,"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,5000.0,send_money
mobile_topup,"If there is no speech in the audio, return empty text.",,,
download_statement,I have done transaction of one lakh rupees right now. Can you please share screenshot?,I have done transaction of one lakh rupees right now. Can you please share screenshot?,100000.0,unknown
unknown,انٹرنیشنل ٹرانسفر,International transfer.,,send_money
unknown,سین 23436 تو سائیکومبرز,Send 23436 to Saicommerce.,23436.0,send_money
unknown,سن 23 4362 سائیکومورس,Send 23436 to Saicommerz.,23436.0,send_money
pay_bill,Send three million from account number 3203201182 MCB Masroor.,Send 3 million from account number 3203201182 MCB Masroor.,3000000.0,send_money
unknown,Airlink,Airlink.,,topup
unknown,سینڈ منی ملے موبائل,Send money Malik Mobile.,,send_money
mobile_topup,"If there is no speech in the audio, return empty text.",بشیر احمد کو پانچ ہزار روپے بھیجیں۔,5000.0,send_money
