Original Transcription,New transcription,Detected Intent,New Intent
سعدیہ اسلم,سعدیہ اسلم,unknown,unknown
Send two lakh rupees to Pakistan Rubber and Tire Companies from Shafqat Tire and Rimaoso account.,Send 2000 rupees to Pakistan Rubber and Tire Companies from Shafqat Tire and Rim account.,send_money,send_money
میرا کرنٹ بیلنس کیا ہے؟,میرا کرنٹ بیلنس کیا ہے ابھی?,unknown,unknown
What is my current balance?,What is my current balance?,unknown,unknown
دنگی گابچ۔,بنکنگ ایپ۔,unknown,unknown
چیک سٹیٹمنٹ,چیک سٹیٹمنٹ,unknown,download_statement
ٹرانسفر ٹو مہک,Transfer to Mehak.,unknown,send_money
Send five rupees to Muhammad Shafqat account.,Send 5 rupees to Muhammad Shafqat account.,send_money,send_money
اگر آڈیو میں کوئی تقریر نہیں ہے تو خالی متن واپس کریں۔ اہم: آڈیو میں اردو یا انگریزی تقریر ہو سکتی ہے۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ آڈیو میں پاکستانی ناموں کو صحیح طریقے سے نقل کریں۔ آڈیو ایک مالیاتی حکم ہے رقم بھیجنے/منتقل کرنے کے لیے۔ احکامات میں شامل ہو سکتے ہیں: رقم کی منتقلی، بل کی ادائیگی، موبائل ٹاپ اپ، یا بیان کی درخواست۔ نمبر اور رقمیں کسی بھی زبان میں بولی جا سکتی ہیں — ہمیشہ انہیں عددی اعداد میں تبدیل کریں۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ فائدہ اٹھانے والے کے نام اور بینک کے نام کو صحیح طریقے سے پکڑنے پر توجہ دیں۔ فلر الفاظ کو نظر انداز کریں۔,Please transfer 5000 rupees to Ali's account.,send_money,send_money
"Hello, funds transfer to Amar Abdullah.","Hello, funds transfer to Ammar Abdullah.",send_money,send_money
ہیلو، پے ون ایٹی ایٹ ہنڈرڈ ٹو بلال احمد، بینک اسلامی,"Hello, pay 18800 to Bilal Ahmed, Bank Islami.",pay_bill,send_money
زبیر خان اسکراب ڈیلر,زبیر خان سکریپ ڈیلر.,unknown,unknown
حسین علی,Hussain Ali,unknown,unknown
"If there is no speech in the audio, return empty text.",Please transfer 5000 rupees to Ali's account.,mobile_topup,send_money
I just want to change the interface of this app.,I just want to change the interface of this app.,pay_bill,unknown
"Hey, I just want to change the interface.","Hey, I just want to change the interface.",download_statement,unknown
UBL face lock option,UBL face lock option.,unknown,unknown
Transfer three lakh twenty thousand rupees to Hafiz Saqib Jahangir.,Transfer تین لاکھ بیس ہزار روپے to حافظ ثاقب جہانگیر.,send_money,send_money
ایک کروڑ روپے ابیض محمد ریحان کے نام پہ۔,ایک روپیہ ابیدو محمد ریحان کے نام پہ.,mobile_topup,send_money
Please send ten thousand rupees to Hina Tamoor.,"Please send 10,000 rupees to Hina Taimoor.",send_money,send_money
ایک روپیہ بیہ دو محمد ریحان ایچ بی ایل,ایک روپیہ بھی دو محمد ریحان ایچ بی ایل.,download_statement,send_money
"Hello, what is my current amount?","Hello, what is my current amount?",unknown,unknown
ایک روپے بھی ایدو محمد ریحان کے نام پر.,ایک روپیہ بھی دو محمد ریحان کے نام پر۔,mobile_topup,send_money
ایک روپیہ بے دو سارا امجد کے نام پہ,ایک روپیہ بھیج دو سارا امجد کے نام پہ۔,send_money,send_money
Please send ten thousand rupees to Hina Taimoor.,"Please send 10,000 rupees to Hina Taimoor.",send_money,send_money
سینڈ تھاؤزنڈ روپیز ٹو سات سلیم یو بی ایل اکاؤنٹ,Send thousand rupees to Saad Saleem UBL account.,send_money,send_money
ایک روپیہ بے دو محمد ریحان کے نام پہ,ایک روپیہ بھی دو محمد ریحان کے نام پہ.,send_money,send_money
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
چیک اکاؤنٹ لیمٹ,چیک اکاؤنٹ لیمٹ,unknown,unknown
سینڈ منی محمد ریحان,Send money Muhammad Rehan.,unknown,send_money
Nereye veremeyeceğim?,Neli verin içeriye.,unknown,unknown
Transaction history,Transaction history.,unknown,download_statement
Show transaction history.,Show transaction history.,download_statement,download_statement
"Hello, open my transaction history.",اوپن میں ٹرانزیکشن ہسٹری.,download_statement,download_statement
Show my balance.,Show my balance.,unknown,unknown
تھوڑا روٹی کھالو۔,Transfer to other account.,unknown,send_money
Please send money to Razali EasyPaisa account.,Please send money to Razza Ali EasyPaisa account.,send_money,send_money
Pay 500 rupees to Fatty Acid.,Pay 500 rupees to Faryas.,send_money,send_money
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
"If there is no speech in the audio, return empty text.",,mobile_topup,
I have done transaction of one lakh rupees right now. Can you please share screenshot?,I have done transaction of one lakh rupees right now. Can you please share screenshot?,download_statement,unknown
میں نے ابھی جو ایک ٹرانزیکشن کی ہے اس کا مجھے سکرین شاٹ چاہیے۔,میں نے ابھی جو ایک ٹرانزیکشن کی ہے اس کا مجھے اسکرین شاٹ چاہیے۔,download_statement,download_statement
