Detected Intent,Original Transcription
unknown,اما ابون لبنچوڑی دونہ.
unknown,"Hey, what are you mean, bro?"
unknown,Sending the money.
unknown,میر فراز
unknown,What is my present amount?
unknown,Show me my balance.
unknown,Open setting
unknown,آئی سی این جی
unknown,میں۔
unknown,My balance.
unknown,What's my bank balance?
unknown,Hello
unknown,اسکینر، اسکینر
unknown,پی اینی ون
unknown,اوپن ای چلان
unknown,زمیرو الحسن
unknown,اوپن ریور علی ہادر
unknown,"Hey ay, open ghayoor haider."
unknown,"Hey, how are you?"
unknown,What is my account balance?
unknown,Show me my balance.
unknown,How much money I have right now?
unknown,اچھا، اب رکھنا۔
unknown,پیسے کتن میرے کول؟
unknown,بھیوا
unknown,ایگزین الیکٹرانکس
unknown,آل اکاؤنٹ ڈیٹیل.
unknown,اوپن دا
unknown,پوری آدھ لے جے۔
unknown,پہلے
unknown,پہنچڑپیز دو عثمان
unknown,ایک ہزار۔
unknown,شیر افغان
unknown,راجہ شیر افگن
unknown,سند پندرہ سو دو عاقب سلیم سادہ پہ
unknown,جب آپ کسی بھی چیز۔
unknown,آئیے رمضان
unknown,"Hello, what you can do for me?"
unknown,How much?
unknown,QR کوڈ
unknown,QR کوڈ آف مائی اکاؤنٹ
unknown,What is my balance now?
unknown,اس میں کچھ بول؟
unknown,2010 دستر افتخار۔
unknown,کبھرے
unknown,پانچ سو نیا پہ علی جان
unknown,السلام علیکم
unknown,کیشا
unknown,السلام علیکم، کیا حال ہے؟
unknown,Please check my balance.
unknown,سنٹود
unknown,مجھے ایک ویک کی ٹرانزیکشنز شو کروا دو.
unknown,کیا نہیں سی میں ڈیجیٹل ٹرانزیکشنز
unknown,"Hello, Assalamualaikum!"
unknown,Payments
unknown,سینڈ بنی
unknown,کیا حال چال ہے آپ کا؟
unknown,کیا حال چال ہے آپ کا؟
unknown,محمد عرفان
unknown,محمد عرفان
unknown,بسم اللہ الرحمن الرحیم
unknown,"Hello, how are you?"
unknown,اسد زفر
unknown,گریٹ چیزیں لے کر نیچے آؤ۔
unknown,نہیں۔
unknown,کوئی نہیں۔
unknown,شو میرا اکاؤنٹ۔
unknown,بنتی سختر
unknown,محمد اجاز
unknown,سن ٹوئنٹی تھاؤزنڈ محمد اجاز اکاؤنٹ
unknown,Pay anyone
unknown,"Hello, how are you?"
unknown,What is the last transaction I made?
unknown,اب یہ منہ سے بولے گا کہ میں کتنا غریب ہوں۔
unknown,بسم اللہ الرحمن الرحیم
unknown,Hello
